"","user","sentimentA"
"797","EireneThemis",1
"798","EJ_Atwood",-1
"799","ej_cake",1
"801","elayna_jpg",0
"802","ElectaWing",-2
"804","eleonorasfalcon",2
"805","eligri97",0
"806","elisarothstein",0
"808","Eliza08_",-3
"810","ellchachki",2
"811","Elle_Sandes",-1
"812","ElleBelleK",0
"814","ellis_texas",-1
"815","ElphinstoneAlex",0
"816","elrond25",1
"817","EmayM10",1
"818","emilemilemily5",0
"819","emilyann1031",0
"820","EmmaFromTheDump",-1
"821","EmmaLNielsen",1
"822","emoontx",1
"823","emstahthaey",3
"824","endermugen",0
"825","ENDERthe3RD",2
"826","endorphynn",1
"827","EnjoyC0ke",2
"828","eramos777",1
"829","Ercoman",-1
"830","Eric_WVGG",1
"831","Eric0Lawton",2
"832","EricFish1111",1
"833","EricMelting",-6
"834","ErikaaLauren",0
"835","erinetodd",1
"836","Erismes",-2
"837","erulasee",0
"839","eswillwalker",-2
"840","ethan_rogers2",0
"841","Ethan79th",0
"842","EuanOscroft",1
"843","eujjoo",0
"844","everlong554",0
"845","Evertonius",-2
"846","EvieMcLaughlin",1
"847","EvonneSB",2
"849","EWTheNeighbor",1
"850","ExactPresence",-1
"851","ExiledRachel",2
"852","ExiledSenpai",-1
"853","ExpatContractor",1
"854","extranone",1
"856","factualfailure",0
"857","FaithBased92",-1
"858","Faithless_ink",0
"859","fakeboricua",2
"860","fakefoxygrandma",-2
"861","falllafel",0
"862","fanazzz",1
"863","Fangsterofluv",1
"864","Farmdaddyjim",-1
"865","farmer_beet",2
"866","farrahbc1",-1
"867","FarzanaBegum2",0
"868","FashyDanMarino",1
"869","FatMemetologist",0
"870","Fausnaught_",2
"871","fauxdeity",1
"872","fcukign",-1
"873","Fcukyuocnut",2
"874","FeaturesCunt",-2
"875","FecalTornad0",-1
"876","fedthefckup",-1
"877","feelgyxd",0
"878","feliciaw5853",1
"880","Ferdinandbandit",0
"881","FerretMovies",1
"882","fgisness",2
"883","FightFatAcptnce",1
"884","findingyourchil",1
"885","Finley_Beckett",1
"886","Finnland101",2
"887","fionadotter",1
"888","Fire_Badger",-1
"889","Firminhoe669",-1
"890","FiscalTweets",-1
"891","Fitzzchiv",-2
"892","FJ473",3
"893","fkaparker",2
"894","flameprincefinn",2
"895","FlammingCookie",1
"896","FlashB0ng",2
"897","FlashHeart59",2
"898","flawed___genius",0
"899","Flip4Students",1
"900","flockofwords",1
"901","flofflach",0
"902","floognoodle",0
"903","FlopFlippity",2
"904","flow5blue",0
"905","flowerpower1776",0
"906","flubsold",2
"907","Fokium7",-2
"908","FoodieScience",0
"909","footballqueen52",2
"910","forge_iron",-2
"912","FrancoisJabbour",1
"913","frappu_chi_no",-1
"914","frednikp",4
"915","FreedomRecon",0
"916","FreemarketSara",-1
"917","FreePressKek",0
"918","freeradicalfem",0
"919","FrEvansJulce",-1
"920","FreyaFyre",0
"921","Frostbite___",2
"922","FrostedBlakesTV",0
"923","frostykate",0
"924","FStanzz",0
"925","Fth10012",2
"926","FTSATM",1
"928","fuck_technology",-1
"929","FUKcommies",-1
"930","funoodlegames",0
"931","FurorDextri",0
"932","FusingHelium3",0
"933","FWOTUS",0
"934","GA_ScienceRodva",1
"935","GabdullaButcha",-1
"936","gabic0rtez",-1
"938","Gabrielitaa8",-1
"939","GabrielyanRob",2
"940","gambit_bijou",1
"941","gamefiend",2
"942","GamingMagic13",1
"943","ganalmyles",1
"944","GaryGazzamk",-2
"945","GasShower",1
"946","GawdSamit",-6
"947","gazeofhorus",0
"948","gbackincollege",1
"950","George_87",-2
"951","Georgeccurtis",2
"952","GeorgePatton76",2
"953","GerbinoJeff",1
"954","GestapoKitteh",-1
"955","ghostcommie",1
"956","Giatuits",1
"957","Gibshome",1
"958","GidgetAZ",1
"959","GiftedNutter",0
"961","gingell_alex",0
"962","GinnyLucas",2
"963","GlaLa666",1
"964","glitters_not",0
"965","GlitteryLucifer",0
"966","Globalizer360",1
"967","glutenfreegirl",0
"968","GoldenAgeX",-1
"970","goodlyRun",3
"971","GoodPressShanno",2
"972","GooseCretian",2
"973","GoRunMaria",1
"974","goslee_aaron",1
"975","gothalbinoange1",0
"976","GothSkunk",-1
"977","Gr4pevine",-1
"978","graemepyoung",-1
"979","grammyd62",-1
"980","grandma_pdf",1
"981","GrandpaSpud",1
"982","Grassy_Knoll",-2
"983","GrayscaIee",2
"985","greatdocbrown",0
"986","GreenMelonHime",0
"NA.1",NA,NA
"988","gregborbonus",1
"989","gregfahlgren",1
"990","Gretchen_Li",0
"991","greymanrp",1
"992","greystate",1
"993","Greywall_Gaming",2
"994","GrgHowser1",4
"995","GrillCheezKilla",1
"996","GRRRR8est",2
"997","grumpydwarf89",4
"998","GruzDD",3
"999","gsforever22",0
"1000","gte",1
"1001","gtpwoody",1
"1003","Gun_Hamundarson",0
"1004","GusElAutobus",1
"1005","GWJ99",1
"1006","GymLeaderMing",1
"1007","HaftaVOTE",0
"1008","HaidSalameh",0
"1009","halaltrilogy",0
"1010","HaleoDcapricorn",-1
"1011","HaleyDa98434180",0
"1012","haleymaple",1
"1013","HalNecessary",0
"1014","HamzaCen",0
"1015","HamzaTerminator",-2
"1016","HanCholow",2
"1017","Hanksingle",1
"1018","HannahMarie1028",2
"1019","hansolo8709",1
"1020","hanzhijie001",-1
"1022","happykt",1
"1024","HaroldLargeIV",2
"1025","HarryHardsocks",1
"1026","HarvLangers",-2
"1027","Hateful_Juan",2
"1028","Haydenishere",-1
"1029","HaylsBayls3",0
